A,B,C,D,E,F,G
H,O_Um421,337,GWZQDWLWEPCDWMX,2080,153,OLNSTYUIIIGYSSL
K,R_NFT36,568,HFPDEYWZGYHHSJP,3621,174,JIBGCETMMPEQHUC
D,Y_A13Fm,385,NHYVTTIDXFYADCF,1843,149,BGRMWMMUMEFOBGL
B,T_Fe134,125,RVFYFMPWBZNWCQK,1299,153,OLNSTYUIIIGYSSL
H,O_Um421,491,HWIQNNMEKJRBPGP,3707,171,WOTRJPNMGQSJCKW
K,R_NFT36,136,ABVXFPLEMVOTBRQ,4835,208,DPQLFVEHBGGKXGX
C,X_MM42e,952,VURNASZCCMBGFMH,2219,208,DPQLFVEHBGGKXGX
F,T_xEfV1,798,USPSEOSELIAAPUD,3283,181,CBKMUWJEKWNROTY
C,X_MM42e,240,CFSPXFBIYSITKUE,4652,181,CBKMUWJEKWNROTY
A,X_10fMM,458,DZGZSRGUYGDHDIX,1253,181,CBKMUWJEKWNROTY
B,T_Fe134,15,VCQKRGUMIWDESRW,4070,162,KAQZSSKPPWRORYW
G,U_oAo12,14,OOMARJWTOWJFXLM,3190,197,BNSCSXOJWAFTTVS
A,X_10fMM,443,LLWUUQCYEXLUAIB,4196,153,OLNSTYUIIIGYSSL
G,U_oAo12,729,LJGOQBMPLTAWZHD,4822,171,WOTRJPNMGQSJCKW
A,X_10fMM,669,NOQPNJDENANCVAR,3748,149,BGRMWMMUMEFOBGL
A,X_10fMM,662,ODFURYFINNMQPUJ,2524,174,JIBGCETMMPEQHUC
K,R_NFT36,305,USKWCWUANJKSPOV,2697,149,BGRMWMMUMEFOBGL
A,X_10fMM,650,UWIGXJDOHPGZKOC,1021,149,BGRMWMMUMEFOBGL
C,X_MM42e,96,TDGZPEQTLFGJQCV,3440,208,DPQLFVEHBGGKXGX
H,O_Um421,347,PAVNWKHMTBVVNWB,1516,181,CBKMUWJEKWNROTY
E,K_12M34,35,PSSVRABNAOGNKCP,3205,197,BNSCSXOJWAFTTVS
H,O_Um421,27,FCHGPOTLBXXKTOB,4888,209,OXMMZOZDYYWVGJG
G,U_oAo12,826,GJBZRUMIQLQFNCZ,1123,149,BGRMWMMUMEFOBGL
B,T_Fe134,842,GSZBCXTCEOPTAFO,4686,197,BNSCSXOJWAFTTVS
E,K_12M34,583,QDMHXFMKFQWMNUF,2392,149,BGRMWMMUMEFOBGL
A,X_10fMM,491,HWIQNNMEKJRBPGP,3012,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,390,CHVNCVKDEMWMRPE,2864,215,QWJKGTTBATEWAHN
K,R_NFT36,385,NHYVTTIDXFYADCF,3988,174,JIBGCETMMPEQHUC
C,X_MM42e,390,CHVNCVKDEMWMRPE,1594,162,KAQZSSKPPWRORYW
F,T_xEfV1,810,PGYACUGIRYNMCBE,1084,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,150,EPGRUBMPZPBYLHC,2970,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,712,IKOPSJGARBTCQLY,2270,121,WWICVCDUHUKZAWN
D,Y_A13Fm,49,CPIEOLOBXRARHBO,4654,210,LCZQWSYFTCTBQUI
A,X_10fMM,15,VCQKRGUMIWDESRW,3339,162,KAQZSSKPPWRORYW
D,Y_A13Fm,81,ODZTDFJYPUEVZXZ,2233,153,OLNSTYUIIIGYSSL
E,K_12M34,473,RJWQPBLKMLUAIMZ,3639,181,CBKMUWJEKWNROTY
C,X_MM42e,47,GVWFISHPCDXNRVU,2656,121,WWICVCDUHUKZAWN
E,K_12M34,822,SKVFPHPLCMNHQPE,1958,171,WOTRJPNMGQSJCKW
F,T_xEfV1,962,PLENQJDDYZULYKA,4489,153,OLNSTYUIIIGYSSL
E,K_12M34,295,EDJEGYBIQYVBXOA,2301,121,WWICVCDUHUKZAWN
D,Y_A13Fm,96,TDGZPEQTLFGJQCV,4005,215,QWJKGTTBATEWAHN
H,O_Um421,595,TBAWQGLWABDNIIX,4778,197,BNSCSXOJWAFTTVS
F,T_xEfV1,240,CFSPXFBIYSITKUE,1618,174,JIBGCETMMPEQHUC
H,O_Um421,491,HWIQNNMEKJRBPGP,3823,162,KAQZSSKPPWRORYW
B,T_Fe134,755,XIBUOKRQGJCFFMG,3648,112,INOMZYINCCISUCQ
F,T_xEfV1,177,MZXEXJZPBWCTOXL,4529,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,142,XVRRJLDRBCRUBVU,4562,198,UHNHONUHHZTFLGT
H,O_Um421,755,XIBUOKRQGJCFFMG,1083,197,BNSCSXOJWAFTTVS
H,O_Um421,385,NHYVTTIDXFYADCF,4219,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,148,NOCWJPTSKUMKXVK,3441,209,OXMMZOZDYYWVGJG
H,O_Um421,81,ODZTDFJYPUEVZXZ,1003,215,QWJKGTTBATEWAHN
F,T_xEfV1,755,XIBUOKRQGJCFFMG,3765,197,BNSCSXOJWAFTTVS
A,X_10fMM,940,XQCNPCOHYWSQVFY,3502,197,BNSCSXOJWAFTTVS
F,T_xEfV1,404,GUJKMIZNEXIEPZE,2720,181,CBKMUWJEKWNROTY
F,T_xEfV1,518,FOLRHQUMXSELBYM,1609,208,DPQLFVEHBGGKXGX
E,K_12M34,952,VURNASZCCMBGFMH,3470,149,BGRMWMMUMEFOBGL
E,K_12M34,822,SKVFPHPLCMNHQPE,2646,121,WWICVCDUHUKZAWN
E,K_12M34,863,YEESBRKROXSGSQS,1420,209,OXMMZOZDYYWVGJG
H,O_Um421,672,LTFQSCEYRBVKUAP,2783,198,UHNHONUHHZTFLGT
G,U_oAo12,84,HLLIUTIMRUMRQDK,3478,121,WWICVCDUHUKZAWN
G,U_oAo12,113,JXFGSVBQNNEUMCJ,2443,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,562,VNGWSFSNSIAFCGD,2317,181,CBKMUWJEKWNROTY
F,T_xEfV1,441,IYRXKIAZTRFRADI,2812,162,KAQZSSKPPWRORYW
D,Y_A13Fm,419,OHXGDSVDHPGJGAO,4029,210,LCZQWSYFTCTBQUI
K,R_NFT36,643,HOSFKFOMXMCHXPL,4970,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,562,VNGWSFSNSIAFCGD,2822,112,INOMZYINCCISUCQ
G,U_oAo12,826,GJBZRUMIQLQFNCZ,1702,162,KAQZSSKPPWRORYW
D,Y_A13Fm,54,EYDZXNGJGPZNZVI,1692,112,INOMZYINCCISUCQ
K,R_NFT36,672,LTFQSCEYRBVKUAP,3467,162,KAQZSSKPPWRORYW
G,U_oAo12,669,NOQPNJDENANCVAR,4434,162,KAQZSSKPPWRORYW
F,T_xEfV1,305,USKWCWUANJKSPOV,3579,162,KAQZSSKPPWRORYW
E,K_12M34,562,VNGWSFSNSIAFCGD,3342,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,491,HWIQNNMEKJRBPGP,2984,179,PKOSWZVLMXMTLZW
H,O_Um421,647,PNAWBSQVYHBMFPO,3386,209,OXMMZOZDYYWVGJG
G,U_oAo12,990,JAHPMDXMTWJIEDT,2933,121,WWICVCDUHUKZAWN
E,K_12M34,384,NDGVSOYSBRMIQLD,3028,162,KAQZSSKPPWRORYW
H,O_Um421,458,DZGZSRGUYGDHDIX,3830,171,WOTRJPNMGQSJCKW
K,R_NFT36,952,VURNASZCCMBGFMH,3564,162,KAQZSSKPPWRORYW
C,X_MM42e,100,KHVFQKBBTJPBMQP,3596,174,JIBGCETMMPEQHUC
G,U_oAo12,889,GMPOFQSNXAFECJD,3860,174,JIBGCETMMPEQHUC
H,O_Um421,138,WWWKZNUKKOCVLDA,4008,215,QWJKGTTBATEWAHN
E,K_12M34,785,RPCNHBECGNSCRLO,1623,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,419,OHXGDSVDHPGJGAO,1362,198,UHNHONUHHZTFLGT
G,U_oAo12,662,ODFURYFINNMQPUJ,3257,215,QWJKGTTBATEWAHN
G,U_oAo12,863,YEESBRKROXSGSQS,4430,208,DPQLFVEHBGGKXGX
E,K_12M34,54,EYDZXNGJGPZNZVI,1238,179,PKOSWZVLMXMTLZW
B,T_Fe134,458,DZGZSRGUYGDHDIX,2752,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,14,OOMARJWTOWJFXLM,1465,121,WWICVCDUHUKZAWN
C,X_MM42e,712,IKOPSJGARBTCQLY,1739,215,QWJKGTTBATEWAHN
H,O_Um421,697,GHVMMFKKKMDGWBO,2886,215,QWJKGTTBATEWAHN
B,T_Fe134,546,AASZXWXFJTNTKNX,1312,208,DPQLFVEHBGGKXGX
C,X_MM42e,827,HBCWMFSNHTNNSOF,3111,208,DPQLFVEHBGGKXGX
H,O_Um421,289,QRSBLITQOKOCXNM,1083,162,KAQZSSKPPWRORYW
D,Y_A13Fm,379,TUHOMJTPLRKEYQA,3981,121,WWICVCDUHUKZAWN
G,U_oAo12,672,LTFQSCEYRBVKUAP,2630,162,KAQZSSKPPWRORYW
F,T_xEfV1,729,LJGOQBMPLTAWZHD,4100,174,JIBGCETMMPEQHUC
H,O_Um421,81,ODZTDFJYPUEVZXZ,4610,181,CBKMUWJEKWNROTY
B,T_Fe134,47,GVWFISHPCDXNRVU,4004,153,OLNSTYUIIIGYSSL
G,U_oAo12,27,FCHGPOTLBXXKTOB,2752,121,WWICVCDUHUKZAWN
K,R_NFT36,148,NOCWJPTSKUMKXVK,1388,174,JIBGCETMMPEQHUC
K,R_NFT36,16,KAMABLMDNQXPNDU,2033,197,BNSCSXOJWAFTTVS
C,X_MM42e,289,QRSBLITQOKOCXNM,1297,174,JIBGCETMMPEQHUC
H,O_Um421,443,LLWUUQCYEXLUAIB,3990,179,PKOSWZVLMXMTLZW
F,T_xEfV1,35,PSSVRABNAOGNKCP,3500,179,PKOSWZVLMXMTLZW
F,T_xEfV1,100,KHVFQKBBTJPBMQP,3550,179,PKOSWZVLMXMTLZW
G,U_oAo12,20,ILQLMBISHNQTVFK,4932,153,OLNSTYUIIIGYSSL
C,X_MM42e,84,HLLIUTIMRUMRQDK,2907,179,PKOSWZVLMXMTLZW
C,X_MM42e,60,QEBBIPDXWRCHGSK,4767,210,LCZQWSYFTCTBQUI
B,T_Fe134,347,PAVNWKHMTBVVNWB,4716,112,INOMZYINCCISUCQ
D,Y_A13Fm,712,IKOPSJGARBTCQLY,2719,112,INOMZYINCCISUCQ
B,T_Fe134,583,QDMHXFMKFQWMNUF,1874,162,KAQZSSKPPWRORYW
A,X_10fMM,568,HFPDEYWZGYHHSJP,2198,209,OXMMZOZDYYWVGJG
G,U_oAo12,729,LJGOQBMPLTAWZHD,2016,208,DPQLFVEHBGGKXGX
K,R_NFT36,562,VNGWSFSNSIAFCGD,1924,174,JIBGCETMMPEQHUC
H,O_Um421,150,EPGRUBMPZPBYLHC,2008,208,DPQLFVEHBGGKXGX
E,K_12M34,699,MIYDBATFLODBRRA,1827,179,PKOSWZVLMXMTLZW
E,K_12M34,940,XQCNPCOHYWSQVFY,2431,208,DPQLFVEHBGGKXGX
B,T_Fe134,523,MLBHTRWIKRCOCYV,1643,210,LCZQWSYFTCTBQUI
B,T_Fe134,562,VNGWSFSNSIAFCGD,1595,174,JIBGCETMMPEQHUC
B,T_Fe134,659,SDHVERSRFEVGPNA,2480,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,952,VURNASZCCMBGFMH,4400,210,LCZQWSYFTCTBQUI
C,X_MM42e,863,YEESBRKROXSGSQS,4747,121,WWICVCDUHUKZAWN
A,X_10fMM,96,TDGZPEQTLFGJQCV,1063,121,WWICVCDUHUKZAWN
E,K_12M34,54,EYDZXNGJGPZNZVI,2322,162,KAQZSSKPPWRORYW
C,X_MM42e,96,TDGZPEQTLFGJQCV,4145,198,UHNHONUHHZTFLGT
B,T_Fe134,14,OOMARJWTOWJFXLM,4752,198,UHNHONUHHZTFLGT
F,T_xEfV1,659,SDHVERSRFEVGPNA,2066,179,PKOSWZVLMXMTLZW
B,T_Fe134,582,VIYZJRMURLLANOL,4537,198,UHNHONUHHZTFLGT
E,K_12M34,798,USPSEOSELIAAPUD,1010,162,KAQZSSKPPWRORYW
E,K_12M34,419,OHXGDSVDHPGJGAO,1787,174,JIBGCETMMPEQHUC
D,Y_A13Fm,385,NHYVTTIDXFYADCF,1941,215,QWJKGTTBATEWAHN
A,X_10fMM,962,PLENQJDDYZULYKA,2466,153,OLNSTYUIIIGYSSL
A,X_10fMM,798,USPSEOSELIAAPUD,4809,112,INOMZYINCCISUCQ
D,Y_A13Fm,16,KAMABLMDNQXPNDU,4597,210,LCZQWSYFTCTBQUI
E,K_12M34,674,AFNIOPRUNAKVQOO,2991,112,INOMZYINCCISUCQ
G,U_oAo12,523,MLBHTRWIKRCOCYV,3005,174,JIBGCETMMPEQHUC
E,K_12M34,760,AIUYMMHXMPOYHJJ,3043,112,INOMZYINCCISUCQ
K,R_NFT36,699,MIYDBATFLODBRRA,2041,153,OLNSTYUIIIGYSSL
K,R_NFT36,289,QRSBLITQOKOCXNM,2133,210,LCZQWSYFTCTBQUI
E,K_12M34,929,MZZSOCSUGSTUXPF,2916,181,CBKMUWJEKWNROTY
B,T_Fe134,163,WJEQCQKJKVCRYMJ,2924,171,WOTRJPNMGQSJCKW
A,X_10fMM,990,JAHPMDXMTWJIEDT,3200,149,BGRMWMMUMEFOBGL
C,X_MM42e,441,IYRXKIAZTRFRADI,3151,197,BNSCSXOJWAFTTVS
E,K_12M34,16,KAMABLMDNQXPNDU,4302,197,BNSCSXOJWAFTTVS
B,T_Fe134,54,EYDZXNGJGPZNZVI,4440,153,OLNSTYUIIIGYSSL
A,X_10fMM,990,JAHPMDXMTWJIEDT,2269,215,QWJKGTTBATEWAHN
F,T_xEfV1,568,HFPDEYWZGYHHSJP,4672,162,KAQZSSKPPWRORYW
B,T_Fe134,859,DYGGIROHJBJBGMC,3169,197,BNSCSXOJWAFTTVS
A,X_10fMM,859,DYGGIROHJBJBGMC,4252,153,OLNSTYUIIIGYSSL
A,X_10fMM,582,VIYZJRMURLLANOL,2422,171,WOTRJPNMGQSJCKW
E,K_12M34,758,CDSHIUCJMSVSCEJ,3802,153,OLNSTYUIIIGYSSL
G,U_oAo12,672,LTFQSCEYRBVKUAP,4474,210,LCZQWSYFTCTBQUI
H,O_Um421,38,IORHSTMRDEJEBPU,1225,197,BNSCSXOJWAFTTVS
E,K_12M34,755,XIBUOKRQGJCFFMG,1842,198,UHNHONUHHZTFLGT
B,T_Fe134,595,TBAWQGLWABDNIIX,1608,209,OXMMZOZDYYWVGJG
F,T_xEfV1,473,RJWQPBLKMLUAIMZ,1987,181,CBKMUWJEKWNROTY
B,T_Fe134,515,JHSFUSBMABVPPJH,1001,121,WWICVCDUHUKZAWN
D,Y_A13Fm,550,JHDHDSBRIXPFYZF,4737,171,WOTRJPNMGQSJCKW
H,O_Um421,697,GHVMMFKKKMDGWBO,2888,181,CBKMUWJEKWNROTY
B,T_Fe134,91,RALPDQBXBDJTNPW,3292,171,WOTRJPNMGQSJCKW
H,O_Um421,458,DZGZSRGUYGDHDIX,1698,208,DPQLFVEHBGGKXGX
E,K_12M34,60,QEBBIPDXWRCHGSK,1280,174,JIBGCETMMPEQHUC
E,K_12M34,863,YEESBRKROXSGSQS,4657,149,BGRMWMMUMEFOBGL
E,K_12M34,697,GHVMMFKKKMDGWBO,4323,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,838,ZLOCESNXHIZOOUL,3778,210,LCZQWSYFTCTBQUI
A,X_10fMM,842,GSZBCXTCEOPTAFO,4216,210,LCZQWSYFTCTBQUI
C,X_MM42e,379,TUHOMJTPLRKEYQA,1570,153,OLNSTYUIIIGYSSL
G,U_oAo12,725,PXGPTCHULHWPELF,2842,149,BGRMWMMUMEFOBGL
A,X_10fMM,136,ABVXFPLEMVOTBRQ,3950,210,LCZQWSYFTCTBQUI
A,X_10fMM,929,MZZSOCSUGSTUXPF,3357,171,WOTRJPNMGQSJCKW
A,X_10fMM,213,AZVXUIYPGMHNZXJ,2715,198,UHNHONUHHZTFLGT
F,T_xEfV1,404,GUJKMIZNEXIEPZE,4972,153,OLNSTYUIIIGYSSL
G,U_oAo12,150,EPGRUBMPZPBYLHC,2103,149,BGRMWMMUMEFOBGL
E,K_12M34,81,ODZTDFJYPUEVZXZ,3738,121,WWICVCDUHUKZAWN
B,T_Fe134,441,IYRXKIAZTRFRADI,3020,112,INOMZYINCCISUCQ
K,R_NFT36,643,HOSFKFOMXMCHXPL,4056,112,INOMZYINCCISUCQ
E,K_12M34,697,GHVMMFKKKMDGWBO,3906,153,OLNSTYUIIIGYSSL
A,X_10fMM,81,ODZTDFJYPUEVZXZ,1687,174,JIBGCETMMPEQHUC
K,R_NFT36,643,HOSFKFOMXMCHXPL,3381,181,CBKMUWJEKWNROTY
A,X_10fMM,838,ZLOCESNXHIZOOUL,1833,208,DPQLFVEHBGGKXGX
F,T_xEfV1,385,NHYVTTIDXFYADCF,4887,174,JIBGCETMMPEQHUC
K,R_NFT36,307,ILISBJAVSODTASL,3985,181,CBKMUWJEKWNROTY
H,O_Um421,84,HLLIUTIMRUMRQDK,3161,209,OXMMZOZDYYWVGJG
E,K_12M34,100,KHVFQKBBTJPBMQP,3489,209,OXMMZOZDYYWVGJG
F,T_xEfV1,583,QDMHXFMKFQWMNUF,4158,153,OLNSTYUIIIGYSSL
F,T_xEfV1,990,JAHPMDXMTWJIEDT,1356,112,INOMZYINCCISUCQ
E,K_12M34,404,GUJKMIZNEXIEPZE,3352,153,OLNSTYUIIIGYSSL
C,X_MM42e,150,EPGRUBMPZPBYLHC,1673,171,WOTRJPNMGQSJCKW
F,T_xEfV1,962,PLENQJDDYZULYKA,1686,208,DPQLFVEHBGGKXGX
A,X_10fMM,419,OHXGDSVDHPGJGAO,4564,112,INOMZYINCCISUCQ
C,X_MM42e,14,OOMARJWTOWJFXLM,3470,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,546,AASZXWXFJTNTKNX,4074,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,81,ODZTDFJYPUEVZXZ,1910,112,INOMZYINCCISUCQ
K,R_NFT36,64,WWDVEEYMDMTQDAH,1428,171,WOTRJPNMGQSJCKW
H,O_Um421,64,WWDVEEYMDMTQDAH,1184,210,LCZQWSYFTCTBQUI
G,U_oAo12,952,VURNASZCCMBGFMH,4812,198,UHNHONUHHZTFLGT
D,Y_A13Fm,148,NOCWJPTSKUMKXVK,4878,198,UHNHONUHHZTFLGT
C,X_MM42e,967,SHRIEJKCRXAXKPY,4101,149,BGRMWMMUMEFOBGL
A,X_10fMM,712,IKOPSJGARBTCQLY,1633,153,OLNSTYUIIIGYSSL
A,X_10fMM,379,TUHOMJTPLRKEYQA,1311,174,JIBGCETMMPEQHUC
G,U_oAo12,307,ILISBJAVSODTASL,1388,162,KAQZSSKPPWRORYW
K,R_NFT36,859,DYGGIROHJBJBGMC,1581,210,LCZQWSYFTCTBQUI
F,T_xEfV1,810,PGYACUGIRYNMCBE,1640,181,CBKMUWJEKWNROTY
H,O_Um421,84,HLLIUTIMRUMRQDK,2600,198,UHNHONUHHZTFLGT
C,X_MM42e,159,KBCJRMNZUDVGIQH,2852,181,CBKMUWJEKWNROTY
B,T_Fe134,295,EDJEGYBIQYVBXOA,4727,153,OLNSTYUIIIGYSSL
F,T_xEfV1,491,HWIQNNMEKJRBPGP,2012,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,347,PAVNWKHMTBVVNWB,3380,162,KAQZSSKPPWRORYW
K,R_NFT36,760,AIUYMMHXMPOYHJJ,4615,210,LCZQWSYFTCTBQUI
B,T_Fe134,729,LJGOQBMPLTAWZHD,2385,181,CBKMUWJEKWNROTY
D,Y_A13Fm,492,FBBYTXBZSXXEFLG,4114,208,DPQLFVEHBGGKXGX
A,X_10fMM,650,UWIGXJDOHPGZKOC,2657,162,KAQZSSKPPWRORYW
E,K_12M34,458,DZGZSRGUYGDHDIX,4762,198,UHNHONUHHZTFLGT
A,X_10fMM,379,TUHOMJTPLRKEYQA,4424,198,UHNHONUHHZTFLGT
E,K_12M34,377,UHIWXYBDZCQDMBW,2615,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,990,JAHPMDXMTWJIEDT,3103,210,LCZQWSYFTCTBQUI
A,X_10fMM,38,IORHSTMRDEJEBPU,1830,171,WOTRJPNMGQSJCKW
C,X_MM42e,150,EPGRUBMPZPBYLHC,2965,198,UHNHONUHHZTFLGT
H,O_Um421,550,JHDHDSBRIXPFYZF,2244,174,JIBGCETMMPEQHUC
F,T_xEfV1,729,LJGOQBMPLTAWZHD,1804,198,UHNHONUHHZTFLGT
D,Y_A13Fm,842,GSZBCXTCEOPTAFO,2357,210,LCZQWSYFTCTBQUI
C,X_MM42e,659,SDHVERSRFEVGPNA,3636,121,WWICVCDUHUKZAWN
B,T_Fe134,38,IORHSTMRDEJEBPU,2020,112,INOMZYINCCISUCQ
E,K_12M34,827,HBCWMFSNHTNNSOF,4737,179,PKOSWZVLMXMTLZW
H,O_Um421,606,RRRGXLFJSGOHCYW,2582,210,LCZQWSYFTCTBQUI
G,U_oAo12,729,LJGOQBMPLTAWZHD,3366,112,INOMZYINCCISUCQ
H,O_Um421,377,UHIWXYBDZCQDMBW,2863,215,QWJKGTTBATEWAHN
H,O_Um421,729,LJGOQBMPLTAWZHD,3583,174,JIBGCETMMPEQHUC
D,Y_A13Fm,491,HWIQNNMEKJRBPGP,1648,197,BNSCSXOJWAFTTVS
K,R_NFT36,606,RRRGXLFJSGOHCYW,4143,198,UHNHONUHHZTFLGT
G,U_oAo12,568,HFPDEYWZGYHHSJP,3002,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,100,KHVFQKBBTJPBMQP,2967,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,699,MIYDBATFLODBRRA,4383,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,213,AZVXUIYPGMHNZXJ,3687,162,KAQZSSKPPWRORYW
H,O_Um421,379,TUHOMJTPLRKEYQA,3326,197,BNSCSXOJWAFTTVS
H,O_Um421,385,NHYVTTIDXFYADCF,2895,210,LCZQWSYFTCTBQUI
C,X_MM42e,441,IYRXKIAZTRFRADI,1492,162,KAQZSSKPPWRORYW
C,X_MM42e,842,GSZBCXTCEOPTAFO,2902,112,INOMZYINCCISUCQ
A,X_10fMM,81,ODZTDFJYPUEVZXZ,4403,198,UHNHONUHHZTFLGT
G,U_oAo12,568,HFPDEYWZGYHHSJP,4496,179,PKOSWZVLMXMTLZW
G,U_oAo12,404,GUJKMIZNEXIEPZE,1874,162,KAQZSSKPPWRORYW
B,T_Fe134,469,GCCIJFZZLUSNZKR,4179,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,606,RRRGXLFJSGOHCYW,4630,210,LCZQWSYFTCTBQUI
H,O_Um421,595,TBAWQGLWABDNIIX,4391,198,UHNHONUHHZTFLGT
H,O_Um421,213,AZVXUIYPGMHNZXJ,2745,215,QWJKGTTBATEWAHN
D,Y_A13Fm,940,XQCNPCOHYWSQVFY,1017,162,KAQZSSKPPWRORYW
G,U_oAo12,125,RVFYFMPWBZNWCQK,2890,149,BGRMWMMUMEFOBGL
H,O_Um421,962,PLENQJDDYZULYKA,4386,171,WOTRJPNMGQSJCKW
B,T_Fe134,64,WWDVEEYMDMTQDAH,3811,171,WOTRJPNMGQSJCKW
H,O_Um421,669,NOQPNJDENANCVAR,2855,209,OXMMZOZDYYWVGJG
K,R_NFT36,546,AASZXWXFJTNTKNX,4224,174,JIBGCETMMPEQHUC
B,T_Fe134,60,QEBBIPDXWRCHGSK,4505,121,WWICVCDUHUKZAWN
F,T_xEfV1,729,LJGOQBMPLTAWZHD,4480,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,100,KHVFQKBBTJPBMQP,4276,121,WWICVCDUHUKZAWN
G,U_oAo12,163,WJEQCQKJKVCRYMJ,1627,208,DPQLFVEHBGGKXGX
F,T_xEfV1,643,HOSFKFOMXMCHXPL,4936,149,BGRMWMMUMEFOBGL
H,O_Um421,990,JAHPMDXMTWJIEDT,4243,209,OXMMZOZDYYWVGJG
B,T_Fe134,502,UYCUSOYWJOOGNSE,1982,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,419,OHXGDSVDHPGJGAO,1005,174,JIBGCETMMPEQHUC
H,O_Um421,725,PXGPTCHULHWPELF,4893,198,UHNHONUHHZTFLGT
K,R_NFT36,606,RRRGXLFJSGOHCYW,2333,209,OXMMZOZDYYWVGJG
H,O_Um421,729,LJGOQBMPLTAWZHD,2573,149,BGRMWMMUMEFOBGL
C,X_MM42e,662,ODFURYFINNMQPUJ,4042,198,UHNHONUHHZTFLGT
F,T_xEfV1,650,UWIGXJDOHPGZKOC,1588,209,OXMMZOZDYYWVGJG
E,K_12M34,562,VNGWSFSNSIAFCGD,3312,210,LCZQWSYFTCTBQUI
E,K_12M34,443,LLWUUQCYEXLUAIB,1146,179,PKOSWZVLMXMTLZW
E,K_12M34,822,SKVFPHPLCMNHQPE,1229,162,KAQZSSKPPWRORYW
G,U_oAo12,491,HWIQNNMEKJRBPGP,1556,171,WOTRJPNMGQSJCKW
G,U_oAo12,650,UWIGXJDOHPGZKOC,4224,197,BNSCSXOJWAFTTVS
B,T_Fe134,826,GJBZRUMIQLQFNCZ,2030,181,CBKMUWJEKWNROTY
F,T_xEfV1,96,TDGZPEQTLFGJQCV,1976,162,KAQZSSKPPWRORYW
K,R_NFT36,91,RALPDQBXBDJTNPW,2403,171,WOTRJPNMGQSJCKW
K,R_NFT36,758,CDSHIUCJMSVSCEJ,1856,215,QWJKGTTBATEWAHN
F,T_xEfV1,148,NOCWJPTSKUMKXVK,2639,162,KAQZSSKPPWRORYW
D,Y_A13Fm,200,MLDOIVPFVDRVMRR,3227,215,QWJKGTTBATEWAHN
B,T_Fe134,990,JAHPMDXMTWJIEDT,1440,171,WOTRJPNMGQSJCKW
A,X_10fMM,859,DYGGIROHJBJBGMC,2217,179,PKOSWZVLMXMTLZW
H,O_Um421,419,OHXGDSVDHPGJGAO,4824,121,WWICVCDUHUKZAWN
B,T_Fe134,962,PLENQJDDYZULYKA,4427,215,QWJKGTTBATEWAHN
H,O_Um421,492,FBBYTXBZSXXEFLG,3025,197,BNSCSXOJWAFTTVS
K,R_NFT36,368,HXUBRLHKGOBUJKR,3084,198,UHNHONUHHZTFLGT
K,R_NFT36,962,PLENQJDDYZULYKA,2491,209,OXMMZOZDYYWVGJG
A,X_10fMM,798,USPSEOSELIAAPUD,2006,171,WOTRJPNMGQSJCKW
E,K_12M34,54,EYDZXNGJGPZNZVI,3651,208,DPQLFVEHBGGKXGX
H,O_Um421,515,JHSFUSBMABVPPJH,2661,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,200,MLDOIVPFVDRVMRR,2956,171,WOTRJPNMGQSJCKW
G,U_oAo12,583,QDMHXFMKFQWMNUF,3556,112,INOMZYINCCISUCQ
F,T_xEfV1,159,KBCJRMNZUDVGIQH,4391,179,PKOSWZVLMXMTLZW
H,O_Um421,84,HLLIUTIMRUMRQDK,1456,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,91,RALPDQBXBDJTNPW,4142,174,JIBGCETMMPEQHUC
G,U_oAo12,760,AIUYMMHXMPOYHJJ,3399,208,DPQLFVEHBGGKXGX
K,R_NFT36,491,HWIQNNMEKJRBPGP,4755,181,CBKMUWJEKWNROTY
B,T_Fe134,385,NHYVTTIDXFYADCF,4935,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,515,JHSFUSBMABVPPJH,3889,174,JIBGCETMMPEQHUC
K,R_NFT36,546,AASZXWXFJTNTKNX,1373,197,BNSCSXOJWAFTTVS
H,O_Um421,518,FOLRHQUMXSELBYM,1545,198,UHNHONUHHZTFLGT
